timestamp,can_id,dlc,payload,label,attack_type
2026-01-01 11:00:00.000,0x100,8,06 F0 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.100,0x101,8,37 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.200,0x102,8,52 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.400,0x104,8,00 05 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.500,0x100,8,07 08 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.600,0x101,8,39 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.700,0x102,8,53 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:00.900,0x104,8,00 06 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.000,0x100,8,07 20 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.100,0x101,8,3A 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.200,0x102,8,54 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.400,0x104,8,00 08 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.500,0x100,8,07 38 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.600,0x101,8,3C 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.700,0x102,8,55 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:01.900,0x104,8,00 07 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.000,0x100,8,07 50 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.100,0x101,8,3D 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.200,0x102,8,56 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.400,0x104,8,00 06 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.500,0x100,8,07 80 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.600,0x101,8,3F 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.700,0x102,8,55 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:02.900,0x104,8,00 05 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.000,0x100,8,07 60 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.100,0x101,8,41 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.200,0x102,8,54 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.300,0x103,8,01 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.400,0x104,8,00 04 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.500,0x100,8,07 40 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.600,0x101,8,43 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.700,0x102,8,53 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:03.900,0x104,8,00 02 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.000,0x100,8,07 20 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.100,0x101,8,42 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.200,0x102,8,52 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.400,0x104,8,FF FE 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.500,0x100,8,07 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.600,0x101,8,40 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.700,0x102,8,51 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:04.900,0x104,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.000,0x100,8,06 E0 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.100,0x101,8,3E 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.200,0x102,8,52 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.400,0x104,8,00 03 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.500,0x100,8,06 C0 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.600,0x101,8,3C 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.700,0x102,8,53 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:05.900,0x104,8,00 05 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.000,0x100,8,06 A0 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.100,0x101,8,3A 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.200,0x102,8,54 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.400,0x104,8,00 06 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.500,0x100,8,06 80 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.600,0x101,8,38 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.700,0x102,8,55 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:06.900,0x104,8,00 07 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.000,0x100,8,06 60 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.100,0x101,8,36 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.200,0x102,8,54 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.400,0x104,8,00 08 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.500,0x100,8,06 40 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.600,0x101,8,34 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.700,0x102,8,53 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:07.900,0x104,8,00 07 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.000,0x100,8,06 20 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.100,0x101,8,32 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.200,0x102,8,52 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.400,0x104,8,00 05 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.500,0x100,8,06 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.600,0x101,8,30 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.700,0x102,8,51 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.800,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:08.900,0x104,8,00 04 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.000,0x100,8,05 E0 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.100,0x101,8,2E 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.200,0x102,8,50 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.300,0x103,8,00 00 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.400,0x104,8,00 03 00 00 00 00 00 00,normal,none
2026-01-01 11:00:09.500,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.510,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.520,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.530,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.540,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.550,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.560,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.570,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.580,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.590,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.600,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.610,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.620,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.630,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.640,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.650,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.660,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.670,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.680,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.690,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.700,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.710,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.720,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.730,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.740,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.750,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.760,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.770,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.780,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.790,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.800,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.810,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.820,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.830,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.840,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.850,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.860,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.870,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.880,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.890,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.900,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.910,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.920,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.930,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.940,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.950,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.960,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.970,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.980,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:09.990,0x100,8,FF FF FF FF FF FF FF FF,abnormal,flooding
2026-01-01 11:00:10.000,0x100,8,21 34 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.120,0x100,8,24 80 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.240,0x100,8,27 98 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.360,0x100,8,2A B0 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.480,0x100,8,2D C8 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.600,0x100,8,30 E0 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.720,0x100,8,33 F8 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.840,0x100,8,36 10 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:10.960,0x100,8,39 28 00 00 00 00 00 00,abnormal,spoofing
2026-01-01 11:00:11.080,0x100,8,3C 40 00 00 00 00 00 00,abnormal,spoofing
